"","OR","2.5 %","97.5 %"
"(Intercept)",0.00292281895150493,0.00252959265511296,0.00337218275220377
"m1_age",1.25489798918751,1.23348320471548,1.27681428436542
"genderFemale",1.0428671891641,0.991403208419831,1.09697053045664
"ethnicityHISPANIC/LATINO",0.982089271906332,0.859340381057233,1.11830284872597
"ethnicityBLACK/AFRICAN AMERICAN",0.814689609310778,0.748464896145142,0.885733820898175
"ethnicityASIAN",1.06305692222257,0.875467089120659,1.28108398311298
"ethnicityOTHER",0.971048563511657,0.874088598766647,1.07655659278776
"cns_24Mechanical Ventilation (MV)",11.1658373954384,10.4405514073702,11.9434156525993
"cns_24Abnormal",1.88922323055588,1.77925488176168,2.0061860680053
"resp_24Abnormal",1.3480932299062,1.27409104720764,1.42604294978675
"coag_24Abnormal",1.25476806565266,1.1886465477629,1.32433029033885
"liver_24Abnormal",1.86922511801054,1.74732125022973,1.99877773604787
"cv_24Abnormal",1.76227366656732,1.627041485984,1.91124080009274
"renal_24Abnormal",2.12346528958263,2.01492843226392,2.23821397340798
