"","OR","2.5 %","97.5 %","N"
"(Intercept)",0.00471424164346321,0.002855321358868,0.00765235526751796,4459
"m_age",1.34397017203032,1.25232229323793,1.4436393482786,4459
"genderFemale",1.19120769003245,1.00207954900011,1.4157913560903,4459
"ethnicityASIAN",0.829561798428343,0.445572006639997,1.4468559839308,4459
"ethnicityBLACK",1.09502221446722,0.795706944454815,1.48843275455165,4459
"ethnicityHISPANIC",0.827726334617757,0.472365313008135,1.37961935550802,4459
"ethnicityOTHER",1.39622771089304,1.14391822858168,1.70096154628241,4459
"charlson",1.10845544655081,1.06758222675142,1.15074379885277,4459
"cns_168",1.03308614600123,0.956668425522495,1.11403610089545,4459
"resp_168",1.36135592381571,1.26383247076606,1.46639987791975,4459
"coag_168",1.24706911536506,1.12924856472899,1.37555560580096,4459
"liver_168",1.1182437916789,1.00321993643228,1.24454405768889,4459
"cv_168",1.38644892016856,1.29081445226397,1.48891971527561,4459
"renal_168",1.10386540391781,1.03280237099172,1.17884618797508,4459
