"","OR","2.5 %","97.5 %","N"
"(Intercept)",0.0172400839216299,0.0115668136544403,0.025430934052649,5192
"m_age",1.24357736329407,1.1700954889533,1.32234117619986,5192
"genderFemale",1.09061650117303,0.938844246332787,1.26648468376879,5192
"ethnicityASIAN",0.752575005500405,0.438760863440077,1.22585725823044,5192
"ethnicityBLACK",0.928522648576199,0.695471114598674,1.2243449836022,5192
"ethnicityHISPANIC",1.01819242314059,0.649538153015185,1.54377004062035,5192
"ethnicityOTHER",1.47643985091132,1.2425217893076,1.75171537157777,5192
"charlson",1.11528887612808,1.08090262601958,1.15068386873771,5192
"cns_24Abnormal",1.04174484941952,0.837041019009708,1.28836062443676,5192
"resp_24Abnormal",1.25073431205803,1.05599569511181,1.47969459714107,5192
"coag_24Abnormal",1.83035127604159,1.36033188729813,2.444145947712,5192
"liver_24Abnormal",2.34630078193899,1.71792621769252,3.18249657522651,5192
"cv_24Abnormal",1.22339871364813,1.0370734553248,1.44199360037758,5192
"renal_24Abnormal",1.32764304002166,1.09186304116347,1.60926832582762,5192
