"","OR","2.5 %","97.5 %","N"
"(Intercept)",0.0153870679777358,0.0100176364975968,0.0233476490486976,4435
"m_age",1.26113068626222,1.18164174015791,1.34677553566161,4435
"genderFemale",1.12392909533621,0.954601157926603,1.32275213869748,4435
"ethnicityASIAN",0.858347180381298,0.482330966317166,1.44395205093825,4435
"ethnicityBLACK",1.06080955743978,0.768644899026361,1.44277756728349,4435
"ethnicityHISPANIC",0.855478458338749,0.502610390368251,1.38591484978361,4435
"ethnicityOTHER",1.46290844197043,1.21378491550244,1.76015814651003,4435
"charlson",1.12328275848987,1.08387220338721,1.16394875130825,4435
"cns_24Abnormal",0.966525918501752,0.760502448819448,1.21886170549751,4435
"resp_24Abnormal",1.18325171482311,0.980070166099607,1.42640132077269,4435
"coag_24Abnormal",1.64857364962817,1.19604588425582,2.25175965010854,4435
"liver_24Abnormal",2.5989181057719,1.85431866240584,3.61663248383482,4435
"cv_24Abnormal",1.24222155556273,1.03446082508177,1.49018110408956,4435
"renal_24Abnormal",1.58959864982806,1.26234205441029,1.99323736200223,4435
