"","OR","2.5 %","97.5 %","N"
"(Intercept)",0.0160029370303073,0.0101119685465027,0.0249729116985739,3924
"m_age",1.2315364565823,1.14682885997708,1.32332655430771,3924
"genderFemale",1.07289403405857,0.895757199522279,1.28408654577342,3924
"ethnicityASIAN",0.841978250432607,0.462662830563579,1.44234051391833,3924
"ethnicityBLACK",0.949319101156684,0.673838319365583,1.31454032085565,3924
"ethnicityHISPANIC",1.2215343142833,0.731875117162355,1.95568267973766,3924
"ethnicityOTHER",1.53353470828553,1.24795493496855,1.88051873076484,3924
"charlson",1.1301924440322,1.0882988553344,1.17359457536846,3924
"cns_24Abnormal",1.08410304244446,0.84127788682607,1.38545631619194,3924
"resp_24Abnormal",1.19121813424047,0.968661455933687,1.4619738850722,3924
"coag_24Abnormal",2.11844813715301,1.52354198164863,2.92237728553349,3924
"liver_24Abnormal",2.73663351244937,1.94156156342894,3.83139822061679,3924
"cv_24Abnormal",1.16043642679393,0.949900937999334,1.41556101372266,3924
"renal_24Abnormal",1.43844989899084,1.14182111435243,1.80478552914441,3924
