"","OR","2.5 %","97.5 %","N"
"(Intercept)",0.0153602849040552,0.00945190779495823,0.0245765861269575,3523
"m_age",1.23624029499943,1.14522612182432,1.33540559772194,3523
"genderFemale",1.0683191613494,0.879448911606902,1.29683995726796,3523
"ethnicityASIAN",0.814156108747881,0.42652614144049,1.44874515990508,3523
"ethnicityBLACK",1.03193709690361,0.710256911821366,1.46872524775331,3523
"ethnicityHISPANIC",0.921913493487373,0.508123613844756,1.57109451213976,3523
"ethnicityOTHER",1.5506930132131,1.2430508556619,1.93004007598616,3523
"charlson",1.11339497189741,1.06780742627929,1.16050948691182,3523
"cns_24Abnormal",1.24424828900367,0.953375076362984,1.60988084376681,3523
"resp_24Abnormal",1.34769664445995,1.07935246543286,1.67930256412034,3523
"coag_24Abnormal",2.14956749996111,1.51564760260677,3.02099785681538,3523
"liver_24Abnormal",2.93053988931408,2.05125178218908,4.15681345331712,3523
"cv_24Abnormal",1.44618273963249,1.15785154348041,1.8033383631487,3523
"renal_24Abnormal",1.06870976356913,0.80956325481217,1.39933565203477,3523
