"","OR","2.5 %","97.5 %","N"
"(Intercept)",0.0206519780226916,0.0152576347803005,0.0277949267980081,10504
"m_age",1.20605291472429,1.14811936519906,1.26755084621674,10504
"genderFemale",0.959359371644715,0.856067404401586,1.0747259407755,10504
"ethnicityASIAN",1.22830236706335,0.7995620524547,1.8307454712338,10504
"ethnicityBLACK",0.801813843656592,0.663248935122692,0.964083139169173,10504
"ethnicityHISPANIC",1.15740347835959,0.859186917384204,1.53731968680104,10504
"ethnicityOTHER",0.914210951524134,0.722436976011359,1.14671543874859,10504
"charlson",1.09547886395395,1.06700595916125,1.12442505526433,10504
"cns_168Abnormal",2.78243600588857,2.47391830070827,3.12932773065619,10504
"resp_168Abnormal",1.67767871863431,1.44312596915756,1.94667776470576,10504
"coag_168Abnormal",2.18214944129013,1.7361524122674,2.73348071159616,10504
"liver_168Abnormal",2.97264101298012,2.24724051655054,3.92015025270701,10504
"cv_168Abnormal",2.05190558889823,1.69631252725362,2.4752561342404,10504
"renal_168Abnormal",1.67960957136025,1.43555673999993,1.96060653654724,10504
