"","OR","2.5 %","97.5 %","N"
"(Intercept)",0.0121384260170933,0.0079645232363599,0.0183013601248232,5883
"m_age",1.14776886987879,1.07532326909586,1.22612550383515,5883
"genderFemale",1.06604754214254,0.911940978820278,1.24538996434307,5883
"ethnicityASIAN",1.11915112832844,0.618473841379363,1.91196118854937,5883
"ethnicityBLACK",0.88986299961867,0.705563501772317,1.11493748608438,5883
"ethnicityHISPANIC",1.27245191942677,0.869117844121967,1.82622180966544,5883
"ethnicityOTHER",1.14180785779906,0.847943691732439,1.51895567485903,5883
"charlson",1.11969596445863,1.07880852843757,1.1616144648793,5883
"cns_168",1.4742455523934,1.3918018165596,1.56248249663997,5883
"resp_168",1.0502120501427,0.982029361032473,1.12266832347684,5883
"coag_168",1.32078601268668,1.21468755100909,1.43504723246494,5883
"liver_168",1.18644541528966,1.07788258413621,1.30409928836612,5883
"cv_168",1.36786017009903,1.25308908404814,1.49212842259097,5883
"renal_168",1.12793557005914,1.06674438105598,1.19187064725664,5883
