"","OR","2.5 %","97.5 %","N"
"(Intercept)",0.0138639798116012,0.00913730815347947,0.0208250536544177,6042
"m_age",1.13753521039565,1.06578196197399,1.21506450208439,6042
"genderFemale",1.00769939487971,0.862371725845092,1.17677266640782,6042
"ethnicityASIAN",1.23737784477215,0.70836974559058,2.0586041272836,6042
"ethnicityBLACK",0.763788719761519,0.596014123979282,0.97042785185573,6042
"ethnicityHISPANIC",1.11497112125398,0.73268743844608,1.65116617728664,6042
"ethnicityOTHER",0.967587670704126,0.710669328764812,1.29872219000194,6042
"charlson",1.12755958880523,1.08561046676509,1.17058841385198,6042
"cns_168",1.4222026430155,1.34312334298389,1.50671875942925,6042
"resp_168",1.06654801819278,0.998662167005781,1.13862213513942,6042
"coag_168",1.37669602040745,1.26668492361765,1.49519813764233,6042
"liver_168",1.172159356855,1.06242593535601,1.29133891492392,6042
"cv_168",1.40056769604739,1.28229246337474,1.52878260179249,6042
"renal_168",1.10220451602714,1.04047016171919,1.16658151443708,6042
