"","OR","2.5 %","97.5 %","N"
"(Intercept)",0.0283708946221549,0.0199681385656776,0.0400564726455254,7870.99999999999
"m_age",1.1440943612795,1.08319564731625,1.20902658500141,7870.99999999999
"genderFemale",1.04217753989183,0.91820729707092,1.18245686228662,7870.99999999999
"ethnicityASIAN",1.12351286714102,0.677420520452305,1.77738040570689,7870.99999999999
"ethnicityBLACK",1.00112992902586,0.826697395297182,1.20640033981172,7870.99999999999
"ethnicityHISPANIC",1.25669342354438,0.91461390402342,1.69973820166548,7870.99999999999
"ethnicityOTHER",1.04958024771164,0.813703214531178,1.33954052139618,7870.99999999999
"charlson",1.11459068123451,1.08336544692239,1.14645681661013,7870.99999999999
"cns_24",1.08964576420577,1.04259423372231,1.13891504454474,7870.99999999999
"resp_24",1.0459195721733,1.0077167729867,1.08564808834903,7870.99999999999
"coag_24",1.14773698608437,1.06486554502288,1.23573713315568,7870.99999999999
"liver_24",1.26665506384067,1.16070712442167,1.3801933124938,7870.99999999999
"cv_24",1.11088360505539,1.04507377342357,1.17995972136111,7870.99999999999
"renal_24",1.03241272892772,0.985294431809685,1.08125814007388,7870.99999999999
