"","OR","2.5 %","97.5 %","N"
"(Intercept)",0.0296933529851399,0.0206913881581601,0.0423240552582946,7551
"m_age",1.13405781872794,1.07122540350649,1.20127653842905,7551
"genderFemale",1.01517027837894,0.890855922085451,1.15635510767502,7551
"ethnicityASIAN",0.89929968040382,0.507321533349162,1.4919790847597,7551
"ethnicityBLACK",1.02402876580188,0.843428739424177,1.23711580074534,7551
"ethnicityHISPANIC",1.19263512117243,0.852209233521791,1.63822560711239,7551
"ethnicityOTHER",1.06018297431169,0.811508113311722,1.36844681598402,7551
"charlson",1.12306695411886,1.08959900596379,1.15725949700706,7551
"cns_24",1.08771909256329,1.03922431083361,1.1385759256899,7551
"resp_24",1.04423373850025,1.00488050839464,1.08521135596974,7551
"coag_24",1.13305576704654,1.04546488879061,1.22624812823938,7551
"liver_24",1.20751553675641,1.08556639852158,1.33962505263286,7551
"cv_24",1.10651585685989,1.03856716369592,1.17794682315586,7551
"renal_24",1.04477175519946,0.995481654705654,1.09593529239944,7551
