"","OR","2.5 %","97.5 %"
"(Intercept)",0.00487710139471613,0.00307833395989882,0.00762699035449857
"m_age",1.42384941589639,1.34646486340587,1.50733684625467
"genderFemale",1.15808205066967,0.989490093843582,1.35512460732907
"ethnicityASIAN",0.780951663168316,0.319141227288841,1.69988474555966
"ethnicityASIAN - ASIAN INDIAN",1.19787344294732,0.251078182730361,4.34584779565048
"ethnicityASIAN - CHINESE",0.462928488090705,0.170105092663299,1.0601082033727
"ethnicityASIAN - KOREAN",1.29039414065351,0.0597760814562533,10.5199445892499
"ethnicityASIAN - SOUTH EAST ASIAN",1.1272146018179e-06,NA,207935490.755704
"ethnicityBLACK/AFRICAN",1.0295918507204,0.227976122433194,3.33643432515347
"ethnicityBLACK/AFRICAN AMERICAN",1.03568551774077,0.750896967191955,1.40931085816439
"ethnicityBLACK/CAPE VERDEAN",0.278110959975911,0.0437968014766291,0.973489542912592
"ethnicityBLACK/CARIBBEAN ISLAND",1.13155903926909,0.386363158196094,2.86883403194927
"ethnicityHISPANIC OR LATINO",0.38138133907856,0.0600248551044771,1.33704070221001
"ethnicityHISPANIC/LATINO - CENTRAL AMERICAN",1.76424101108042,0.0893464145322184,12.1940336919411
"ethnicityHISPANIC/LATINO - COLUMBIAN",1.35189570101114e-06,NA,7.98548779990765e+21
"ethnicityHISPANIC/LATINO - DOMINICAN",0.385631291082719,0.0914776291527418,1.10027181966274
"ethnicityHISPANIC/LATINO - GUATEMALAN",3.00590369847364e-06,NA,3.35300992321264e+22
"ethnicityHISPANIC/LATINO - HONDURAN",3.03025321140682,0.130677744076735,36.323902046563
"ethnicityHISPANIC/LATINO - MEXICAN",2.08248725780203,0.0933024308662296,19.6621498023433
"ethnicityHISPANIC/LATINO - PUERTO RICAN",1.55926374832127,0.819488189349841,2.82952493801912
"ethnicityHISPANIC/LATINO - SALVADORAN",1.5269621364218,0.0766139502237341,9.9939132331011
"ethnicityMULTIPLE RACE/ETHNICITY",2.08531493847368e-06,NA,9.41149218960507e+38
"ethnicityNATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER",0.313069785957587,0.0153976463976227,2.23779818069452
"ethnicityOTHER",1.594198762241,1.32902315072393,1.90995685539821
"ethnicityPATIENT DECLINED TO ANSWER",0.626906138476426,0.215077962879591,1.58072655098214
"ethnicityPORTUGUESE",0.657030694043348,0.100478843950549,2.46612602060476
"ethnicitySOUTH AMERICAN",6.60864666818471e-06,NA,8.99129204720544e+61
"ethnicityWHITE - BRAZILIAN",2.04014424805523e-06,NA,27603884405.908
"ethnicityWHITE - EASTERN EUROPEAN",3.30742390810886,0.446462563924177,17.0330115467196
"ethnicityWHITE - OTHER EUROPEAN",1.11621167229224,0.592414607223989,1.99633156154114
"ethnicityWHITE - RUSSIAN",0.526622544723932,0.0819963112743028,1.8946802900879
"cns_168Abnormal",0.738951215866266,0.601468514493826,0.905993507674383
"cns_168Mechanical Ventilation (MV)",2.04746702461127,1.67182710351467,2.51237900902014
"resp_168Abnormal",1.80983465986937,1.47829749844048,2.21462674069624
"coag_168Abnormal",1.63381251746059,1.37079409605955,1.94563377908569
"liver_168Abnormal",1.65335768991569,1.34522886537467,2.0297984243655
"cv_168Abnormal",1.43123137681615,1.16666739875585,1.76464359320573
"renal_168Abnormal",1.59697350233208,1.35482637907322,1.88287183801452
