"","OR","2.5 %","97.5 %","N"
"(Intercept)",0.00747494304170945,0.00434478947088169,0.0126043837662158,3316
"m_age",1.35886037203172,1.25139794658028,1.47709523023947,3316
"genderFemale",1.0232732475521,0.831363019139631,1.25837026899403,3316
"ethnicityASIAN",1.15789242252409,0.618184967575048,2.0424872863751,3316
"ethnicityBLACK",1.20002714304215,0.808783478073763,1.74491920898475,3316
"ethnicityHISPANIC",0.995184685782827,0.530094282858088,1.75183102354552,3316
"ethnicityOTHER",1.43699435056099,1.13160652208309,1.8200686017954,3316
"charlson",1.09646356437445,1.04820390621087,1.14648448976952,3316
"cns_168Abnormal",1.54129973280903,1.15246513524606,2.04398910340018,3316
"resp_168Abnormal",3.35699567165317,2.56195995222474,4.38955680315621,3316
"coag_168Abnormal",2.43370171270648,1.68573485651807,3.49880562515825,3316
"liver_168Abnormal",2.38652522276346,1.68947232062202,3.35542847227546,3316
"cv_168Abnormal",2.58696539622953,2.00044744637153,3.33576092147664,3316
"renal_168Abnormal",1.22325169112252,0.930487679685174,1.59772892129772,3316
