"","OR","2.5 %","97.5 %","N"
"(Intercept)",0.00225182013671063,0.00176512999368602,0.0028621201514546,38295
"m_age",1.21729505173893,1.17647532712213,1.25971788920913,38295
"genderFemale",1.23920880602678,1.14173279367324,1.34495802992321,38295
"ethnicityASIAN",1.05885984750403,0.82177191324501,1.34758193794091,38295
"ethnicityBLACK",0.881222895602732,0.748119164320227,1.03315200441723,38295
"ethnicityHISPANIC",1.03358146939496,0.795770219712178,1.32375813568667,38295
"ethnicityOTHER",2.07146779595796,1.88259876826721,2.27795053962775,38295
"sepsis3",2.08085947922133,1.88921728387669,2.29412153604968,38295
"medical",1.70023680756614,1.54672655627497,1.87074550623426,38295
"charlson",1.14543964255073,1.12546878246678,1.16564558499415,38295
"cirr_present",1.09881242622753,0.941468916668331,1.27909965389606,38295
"hypertension_present",0.786156163610294,0.716888239973641,0.862496736550655,38295
"heart_failure_present",0.828777842561078,0.755933284485712,0.908214994356316,38295
"asthma_present",3.67314646088966,2.81530852779243,4.7495621427273,38295
"copd_present",0.906159720697449,0.821881512759252,0.998094809342453,38295
"ckd_stagesPresent",0.564179466475868,0.488145377560376,0.65049689980787,38295
"cns_24Abnormal",2.42594916939679,2.16897544100224,2.70992819073306,38295
"resp_24Abnormal",2.10766319874206,1.90145101608131,2.33484411036829,38295
"coag_24Abnormal",2.0273518036264,1.71450489885974,2.3906282977115,38295
"liver_24Abnormal",2.0000722133135,1.65958379296638,2.4041799344014,38295
"cv_24Abnormal",1.95686883757715,1.78412949854906,2.14563896227045,38295
"renal_24Abnormal",2.65341017585901,2.37190579747857,2.9664664522369,38295
