"","OR","2.5 %","97.5 %","N"
"(Intercept)",0.00572241455800621,0.0045598122252573,0.00715470556052544,30663
"m_age",1.19169086771629,1.15280890883967,1.23207345319006,30663
"genderFemale",1.21479929503871,1.11545903083853,1.32296668180892,30663
"ethnicityASIAN",1.09602829744582,0.840231514395644,1.41021518187459,30663
"ethnicityBLACK",0.843745976825271,0.708346742718336,0.999301801591352,30663
"ethnicityHISPANIC",0.925395992759093,0.697322453695345,1.20760259587323,30663
"ethnicityOTHER",1.97047368465679,1.7834495632565,2.17570367384052,30663
"charlson",1.13320063832351,1.11389432881014,1.15273903995318,30663
"cns_24Abnormal",2.47019010044117,2.1978757121666,2.77235697004214,30663
"resp_24Abnormal",2.29114375258888,2.05543102097793,2.55196476394687,30663
"coag_24Abnormal",2.21699583677232,1.86405425445866,2.62831015798999,30663
"liver_24Abnormal",2.32984436705797,1.94156154840428,2.78647689683714,30663
"cv_24Abnormal",2.26798629830573,2.06085075077885,2.49473403555098,30663
"renal_24Abnormal",3.02661503100649,2.682609243772,3.41105056997154,30663
