"","OR","2.5 %","97.5 %","N"
"(Intercept)",0.00635034372414648,0.00499282551906873,0.00804273598978923,26442
"m_age",1.17730307400959,1.1359532011861,1.22036819272078,26442
"genderFemale",1.28362043510373,1.16910071754948,1.40926334357471,26442
"ethnicityASIAN",1.04288066265008,0.794931224123973,1.34892110299175,26442
"ethnicityBLACK",0.782824165312848,0.65296398990438,0.932982667634887,26442
"ethnicityHISPANIC",0.893843735479746,0.661975921929336,1.18445655654554,26442
"ethnicityOTHER",1.98402693379467,1.77942474913706,2.21047394325928,26442
"charlson",1.11642172784142,1.09579709412397,1.13732096263438,26442
"cns_24Abnormal",2.56440724239797,2.26199684858941,2.90256863153725,26442
"resp_24Abnormal",2.23792266014112,1.98186754211545,2.52454342535076,26442
"coag_24Abnormal",2.25306869150351,1.88113747720949,2.68913875930664,26442
"liver_24Abnormal",2.8403529833911,2.36135385917757,3.40566276534171,26442
"cv_24Abnormal",2.32034389194126,2.09074733176798,2.57372400390351,26442
"renal_24Abnormal",2.25355876933816,2.00143390786187,2.53464149186832,26442
