"","OR","2.5 %","97.5 %"
"(Intercept)",0.00232705971888411,0.00182000325154449,0.00296304039984791
"m_age",1.36707453869503,1.32768469562554,1.40810423639554
"genderFemale",1.31442569209418,1.20753776923221,1.43077714490196
"ethnicityASIAN",1.1662908206209,0.9003841970758,1.4908176949734
"ethnicityBLACK",0.881965745038234,0.748599984952302,1.03405004853306
"ethnicityHISPANIC",0.889528019289231,0.662962979991645,1.17092017196578
"ethnicityOTHER",1.89556744967624,1.71985093152559,2.08785241026934
"cns_24Abnormal",1.36111540758336,1.22451960903767,1.51328573160965
"cns_24Mechanical Ventilation (MV)",5.36027422666197,4.74572286477511,6.06220105067023
"resp_24Abnormal",1.42847503035534,1.2772036169526,1.59650745291518
"coag_24Abnormal",0.954402447426452,0.873401913661472,1.04240429848554
"liver_24Abnormal",2.0134056443807,1.79845786100201,2.25123007266796
"cv_24Abnormal",0.96506911874904,0.847764759945783,1.10167932535172
"renal_24Abnormal",2.04645008858442,1.87654482650173,2.23216306153154
