"","OR","2.5 %","97.5 %"
"(Intercept)",0.00274459045008509,0.00216818467449329,0.00346123350992578
"m_age",1.32742026903851,1.29097554038052,1.36527024556308
"genderFemale",1.31429249696257,1.21109477732211,1.42625649325012
"ethnicityASIAN",1.14351644422664,0.889692554015866,1.4518780328465
"ethnicityBLACK",0.862966788883172,0.732754764692454,1.01129662649666
"ethnicityHISPANIC",0.994817006280266,0.767070295539835,1.2721886841867
"ethnicityOTHER",1.8589613865836,1.69246740275105,2.04056830932397
"cns_24Abnormal",1.34291803350782,1.21326605996676,1.48668085376615
"cns_24Mechanical Ventilation (MV)",4.89828201671905,4.35877730009962,5.51078717323537
"resp_24Abnormal",1.44986711767098,1.30258276849183,1.61278114648034
"coag_24Abnormal",0.989519743824262,0.90859608325122,1.07728007577223
"liver_24Abnormal",2.30516272293188,2.08563558203914,2.54615613720495
"cv_24Abnormal",1.019739044766,0.898797852704296,1.16011870058542
"renal_24Abnormal",2.16549552452293,1.99132559535354,2.35535734785468
