"","OR","2.5 %","97.5 %","N"
"(Intercept)",0.0194022353962147,0.0142111495097979,0.0263300578263913,10653
"m_age",1.18677703474329,1.12910649602473,1.24801781959317,10653
"genderFemale",1.02747925631273,0.91521184632902,1.15313969076452,10653
"ethnicityASIAN",1.10245710331067,0.71587815563275,1.64228772374809,10653
"ethnicityBLACK",0.89563247930953,0.752221994504852,1.0621425569764,10653
"ethnicityHISPANIC",1.25786793864698,0.925953409610501,1.68548020812551,10653
"ethnicityOTHER",0.902178716938737,0.706086062955032,1.14146917154258,10653
"charlson",1.09677263950032,1.0687621880896,1.12525151258986,10653
"cns_168Abnormal",3.08714262801775,2.73838497830775,3.48003824081748,10653
"resp_168Abnormal",1.68462198335272,1.41731565708128,1.99661119901837,10653
"coag_168Abnormal",2.69263618472022,2.16639175769902,3.33878297112182,10653
"liver_168Abnormal",2.803356181821,2.1480059240172,3.64808072657697,10653
"cv_168Abnormal",2.0309321649531,1.67835003979182,2.45052437808648,10653
"renal_168Abnormal",1.59859343563109,1.38775539071507,1.8383660658475,10653
