"","OR","2.5 %","97.5 %","N"
"(Intercept)",0.0190074630842944,0.0137517939866881,0.0261008948756248,10236
"m_age",1.19195374566179,1.1313645526208,1.25649412714169,10236
"genderFemale",1.00025361431714,0.88777020096876,1.12656038050125,10236
"ethnicityASIAN",1.01753054239551,0.643101461858036,1.54773871896596,10236
"ethnicityBLACK",0.90706067531315,0.758848726030658,1.07973541106515,10236
"ethnicityHISPANIC",1.26179843076978,0.916578001662018,1.71068356155331,10236
"ethnicityOTHER",0.974447185033878,0.758850537328194,1.23863059454947,10236
"charlson",1.09780141140691,1.06809321366825,1.12803411973316,10236
"cns_168Abnormal",3.03551130341423,2.68251532467307,3.43451390192924,10236
"resp_168Abnormal",1.63720091128983,1.36661825157492,1.95477420401823,10236
"coag_168Abnormal",3.20983038301519,2.53805829520156,4.05061056598721,10236
"liver_168Abnormal",3.04788174669225,2.22976086174138,4.15200489149585,10236
"cv_168Abnormal",2.0444819767979,1.67931037565395,2.48113042056749,10236
"renal_168Abnormal",1.48537369930066,1.28099782919043,1.71886955632298,10236
