"","OR","2.5 %","97.5 %"
"(Intercept)",0.00847485687805394,0.00622999753594519,0.0114624524375437
"m_age",1.28592848465274,1.23772950319548,1.33665101674396
"genderFemale",1.00100286269632,0.897353408417345,1.11630695897103
"ethnicityASIAN",0.920401311641146,0.597124169778893,1.37200112305523
"ethnicityBLACK",0.901742079525025,0.763825657017903,1.06079491719933
"ethnicityHISPANIC",1.18246750451397,0.891797110838095,1.54890983161811
"ethnicityOTHER",0.928392273942639,0.737096749066566,1.15930214321277
"cns_168Abnormal",1.79008728171718,1.53956024871377,2.08460474175481
"cns_168Mechanical Ventilation (MV)",4.00328565109165,3.46592485905588,4.63460024243956
"resp_168Abnormal",1.03601939486092,0.905562404388862,1.18309311804316
"coag_168Abnormal",1.7676548832557,1.57113667475214,1.98781091234814
"liver_168Abnormal",1.41808631541384,1.20204214339282,1.66918619196479
"cv_168Abnormal",1.53002252312247,1.34203645284825,1.74805332014076
"renal_168Abnormal",1.50851712022654,1.34797204666538,1.68800279866588
