"","OR","2.5 %","97.5 %","N"
"(Intercept)",0.00432099823113859,0.00371858425723022,0.00501389683695581,105907
"m_age",1.22667667532346,1.19965632346131,1.25445054717364,105907
"genderFemale",0.97525556927401,0.926480781123075,1.02655464279602,105907
"ethnicityASIAN",1.18448276447192,0.974117233586656,1.4292699046285,105907
"ethnicityBLACK",0.805432204431672,0.738207215094661,0.877746229300202,105907
"ethnicityHISPANIC",0.932063827817274,0.812910900171223,1.0647678814005,105907
"ethnicityOTHER",0.969163467230811,0.870427459414185,1.07687473857321,105907
"sepsis3",1.46380653680327,1.38846768720326,1.54313019331606,105907
"medical",1.31839125075038,1.23387994323299,1.40957993324551,105907
"charlson",1.07911560288998,1.06597814118325,1.09230953922411,105907
"cirr_present",1.104987983744,0.972682190249539,1.25256422214346,105907
"hypertension_present",0.860375845655531,0.815447552668642,0.907828699530858,105907
"heart_failure_present",1.15272600119354,1.0832618015963,1.22629543464342,105907
"asthma_present",0.878230635154764,0.787828614046305,0.976995409876097,105907
"copd_present",0.995583709556538,0.932225378628911,1.06281322656438,105907
"ckd_stagesstage3",1.12646048662138,0.970969590255985,1.30205303575042,105907
"ckd_stagesstage4",1.30428661489049,0.95577047106158,1.75182699658913,105907
"ckd_stagesstage5",0.80941359499897,0.730169309539805,0.896152755070335,105907
"newvent24",7.35830951450744,6.76682491804866,7.99711018142288,105907
"cns_24Abnormal",3.158910748624,2.95316227589797,3.37772483353797,105907
"resp_24Abnormal",1.28438090130663,1.07959894037077,1.52373772776405,105907
"coag_24Abnormal",2.73409507953916,2.42877535930764,3.0733928290584,105907
"liver_24Abnormal",2.81644647167457,2.3708880882248,3.33756749606222,105907
"cv_24Abnormal",2.03083944108713,1.89528367877965,2.17520051903396,105907
"renal_24Abnormal",1.93915699844223,1.82291462923252,2.06223750383269,105907
"newvent24:cns_24Abnormal",0.657840280606712,0.584941160911905,0.74011965084441,105907
