"","OR","2.5 %","97.5 %"
"(Intercept)",0.00275227133181054,0.00230098453101758,0.00328584143906706
"m_age",1.17007653547852,1.14271384527661,1.19823770417508
"genderFemale",0.998154620382236,0.942453534634655,1.05709411098587
"ethnicityASIAN",1.0576418665313,0.841442089681841,1.31582531904542
"ethnicityBLACK",0.810260775034735,0.73703585283875,0.889494568175053
"ethnicityHISPANIC",0.934440976517273,0.808691982947879,1.07524469537894
"ethnicityOTHER",0.997309941353764,0.88361575922647,1.12262991304548
"sepsis3",1.42626185430548,1.34491207608628,1.51245069595536
"medical",1.36567703126062,1.26577005980735,1.47474553530981
"charlson",1.06192233656499,1.04899169975582,1.07492005216109
"cns_24Abnormal",1.81541040128871,1.69614116001374,1.94320016374084
"cns_24Mechanical Ventilation (MV)",10.2223958039623,9.47435746230932,11.0315354169223
"resp_24Abnormal",1.4152435475656,1.32785713018778,1.50792495513928
"coag_24Abnormal",1.30158458456772,1.2240516698687,1.38372084658987
"liver_24Abnormal",1.71396800948035,1.58495682313799,1.85236864749778
"cv_24Abnormal",1.70235640177775,1.55337086714859,1.86877929376145
"renal_24Abnormal",1.90229103116011,1.7904339181088,2.02153149319895
