"","OR","2.5 %","97.5 %"
"(Intercept)",0.0029098425127515,0.00250892783699553,0.00336956236021029
"m_age",1.25623606993678,1.2342413460152,1.27876256811102
"genderFemale",1.04991311568961,0.996466051004043,1.10619528365074
"ethnicityASIAN",1.11920862358209,0.916202393746795,1.35635995780662
"ethnicityBLACK",0.81397590372203,0.743305373568981,0.890120167173913
"ethnicityHISPANIC",1.00391367833687,0.873911535150914,1.14874655826853
"ethnicityOTHER",0.98211215268538,0.879395822191295,1.09431705950196
"cns_24Abnormal",1.88212915447309,1.76915363411354,2.00252225240494
"cns_24Mechanical Ventilation (MV)",11.3341422854368,10.5760897196882,12.1486031401775
"resp_24Abnormal",1.34672804801419,1.27043353741427,1.42722791246363
"coag_24Abnormal",1.24671326323672,1.17870346131294,1.3183832361222
"liver_24Abnormal",1.83499292775274,1.710875931212,1.96718766067279
"cv_24Abnormal",1.73713117994795,1.60089801558636,1.88751574968716
"renal_24Abnormal",2.1450148491214,2.03283607935812,2.26371216324117
