"","OR","2.5 %","97.5 %","N"
"(Intercept)",0.00572892668516384,0.00337828436819597,0.00953336049433997,3808
"m_age",1.36662112728684,1.262825712618,1.48045425410703,3808
"genderFemale",1.1202079558522,0.92127319545371,1.36131845896996,3808
"ethnicityASIAN",0.816134711885212,0.429180674691756,1.45350479434183,3808
"ethnicityBLACK",0.989121106119038,0.682599611535664,1.40684646491634,3808
"ethnicityHISPANIC",1.05535387289767,0.597379720895829,1.78078848359614,3808
"ethnicityOTHER",1.49236098221478,1.19296673125352,1.86266621752315,3808
"charlson",1.11023276030332,1.06506595114221,1.15710649113429,3808
"cns_168Abnormal",1.66449412255703,1.25451828875031,2.19124301263897,3808
"resp_168Abnormal",3.06088367786094,2.34536635893264,3.98543258431029,3808
"coag_168Abnormal",2.4735325071464,1.76268265094297,3.45961911774197,3808
"liver_168Abnormal",2.42053571304187,1.75149586143199,3.33285474657704,3808
"cv_168Abnormal",2.9699008703348,2.35881012208352,3.73322941955424,3808
"renal_168Abnormal",1.41059648569406,1.10661076917978,1.7903134019881,3808
