"","OR","2.5 %","97.5 %","N"
"(Intercept)",0.00755968098568401,0.0043894149842977,0.0127637461657675,3434
"m_age",1.33773871509825,1.23053891238306,1.45575042130337,3434
"genderFemale",1.07789114520433,0.875841820255985,1.32566483204327,3434
"ethnicityASIAN",0.953444346810456,0.499725266374216,1.6994866885983,3434
"ethnicityBLACK",1.09855761153938,0.734384879314657,1.60617525493086,3434
"ethnicityHISPANIC",0.969525163647889,0.516833935738481,1.70456049680196,3434
"ethnicityOTHER",1.48494606663899,1.17034665746192,1.87923365294308,3434
"charlson",1.09985971598024,1.05118937495207,1.15024665524497,3434
"cns_168Abnormal",1.58124963522313,1.17818330612527,2.10317311084149,3434
"resp_168Abnormal",3.24077113367586,2.4847668575206,4.21633822589856,3434
"coag_168Abnormal",2.28772646333771,1.57980424515438,3.29538100961056,3434
"liver_168Abnormal",2.5104295183176,1.77613227232715,3.53183827535988,3434
"cv_168Abnormal",2.63642444257367,2.03438019458316,3.40594476099004,3434
"renal_168Abnormal",1.17683859646405,0.890663290690167,1.54376717160107,3434
