"","OR","2.5 %","97.5 %","N"
"(Intercept)",0.00534331384607125,0.00428812312392179,0.00663533961770727,35356
"m_age",1.19778286207936,1.15997885503501,1.23699345274198,35356
"genderFemale",1.17731495198599,1.08553642247773,1.27682585659589,35356
"ethnicityASIAN",1.06764832525002,0.830778335120674,1.35505043499002,35356
"ethnicityBLACK",0.818489804486957,0.696214546644944,0.957607051732822,35356
"ethnicityHISPANIC",0.9973551604377,0.769499948691476,1.274627986884,35356
"ethnicityOTHER",2.0435281173962,1.85811223421296,2.24606602839482,35356
"charlson",1.1188451170962,1.10115147489845,1.13673953900691,35356
"cns_24Abnormal",2.63049302254159,2.35285289542116,2.93712693699046,35356
"resp_24Abnormal",2.29557275886244,2.07201181478163,2.54148928114995,35356
"coag_24Abnormal",2.34184418820669,1.98596747659622,2.75333630371749,35356
"liver_24Abnormal",2.61973387532475,2.20145765371424,3.10811017748955,35356
"cv_24Abnormal",2.324183043726,2.12273859831032,2.54369411157873,35356
"renal_24Abnormal",2.3254068644465,2.09447872384326,2.57950965698133,35356
