"","OR","2.5 %","97.5 %","N"
"(Intercept)",0.00525283567187761,0.00417215567644921,0.00658757192201951,31627
"m_age",1.21131017510909,1.17159754676769,1.25259418334574,31627
"genderFemale",1.24738443616499,1.14643750663437,1.35723638098252,31627
"ethnicityASIAN",1.01454500726007,0.779334280064801,1.30237764286326,31627
"ethnicityBLACK",0.826089694759418,0.702851907892552,0.96638023383523,31627
"ethnicityHISPANIC",0.849309506036765,0.630936755591449,1.12064393757211,31627
"ethnicityOTHER",1.98959867926454,1.80175304580535,2.19558333968103,31627
"charlson",1.11936169504755,1.1007658807736,1.13818211246992,31627
"cns_24Abnormal",2.56214427121433,2.28551427860897,2.86837000772711,31627
"resp_24Abnormal",2.31875607501502,2.08003645569066,2.58283773928283,31627
"coag_24Abnormal",3.30618654897858,2.74024684882572,3.97480395439941,31627
"liver_24Abnormal",1.85397752703282,1.41411539447261,2.40564692645858,31627
"cv_24Abnormal",2.19285313934368,1.99316433413327,2.41131966423076,31627
"renal_24Abnormal",2.06331118901,1.84497442461432,2.30484431416963,31627
