"","OR","2.5 %","97.5 %","N"
"(Intercept)",0.00505572899913071,0.00401191779503556,0.0063467981366075,32155
"m_age",1.18650928927866,1.14706097455373,1.2275027847108,32155
"genderFemale",1.20111203236101,1.10148320509145,1.3097704088691,32155
"ethnicityASIAN",1.11093477386945,0.847276900178089,1.43573008448101,32155
"ethnicityBLACK",0.864643308545062,0.720647908826167,1.03091015442952,32155
"ethnicityHISPANIC",1.02331881162278,0.771292485305608,1.33528517570734,32155
"ethnicityOTHER",2.14002672761844,1.93498918725782,2.36525784837777,32155
"charlson",1.13984019132576,1.12019912315066,1.15971681057101,32155
"cns_24Abnormal",2.61232781870353,2.32009919640735,2.93708945324544,32155
"resp_24Abnormal",2.2853135873487,2.04850592293787,2.54745945106496,32155
"coag_24Abnormal",2.26842112134951,1.89889674948192,2.70058660674148,32155
"liver_24Abnormal",2.43409356986953,2.01951160128186,2.92356156262296,32155
"cv_24Abnormal",2.35869092231808,2.13987994154327,2.59858375337341,32155
"renal_24Abnormal",3.12840580887592,2.76471807371413,3.5358377651915,32155
