"","OR","2.5 %","97.5 %","N"
"(Intercept)",0.0215394793716752,0.0160619433475757,0.0287323047589242,11201
"m_age",1.20954477528574,1.15312439324641,1.26932296164034,11201
"genderFemale",0.940702382643562,0.843122753637068,1.0491980063931,11201
"ethnicityASIAN",0.972490737188529,0.627246824263436,1.45686220011131,11201
"ethnicityBLACK",0.881056153578526,0.744984269706874,1.03811394866342,11201
"ethnicityHISPANIC",1.1289454408705,0.850060157788358,1.4805339910928,11201
"ethnicityOTHER",0.872478347345574,0.69146054750646,1.09114863711064,11201
"charlson",1.09573037979647,1.06873936283437,1.12317252496307,11201
"cns_168Abnormal",2.95951389800014,2.64712001221042,3.30880152614428,11201
"resp_168Abnormal",1.01338258086939,0.572776121400573,1.71114102034682,11201
"coag_168Abnormal",2.53113926022325,2.01600170200588,3.16841671705276,11201
"liver_168Abnormal",3.0313690570755,2.22098695961611,4.1243885870551,11201
"cv_168Abnormal",2.23979855973953,1.87260072040803,2.67292598961579,11201
"renal_168Abnormal",1.47595380301315,1.28201398628136,1.69608190626386,11201
