"","OR","2.5 %","97.5 %","N"
"(Intercept)",0.0231604715018447,0.0171934125725352,0.031027763291942,10504
"m_age",1.19398796524459,1.1371127652648,1.25432562202632,10504
"genderFemale",0.958349221922323,0.855427061996197,1.07326315222511,10504
"ethnicityASIAN",1.18381778992686,0.771197621328607,1.76354976710478,10504
"ethnicityBLACK",0.785693802496489,0.650225303476223,0.944230778743679,10504
"ethnicityHISPANIC",1.12420384878863,0.834514443744539,1.49300964716433,10504
"ethnicityOTHER",0.890565997557324,0.703803121941864,1.11695291406046,10504
"charlson",1.0974246295757,1.06901150344174,1.1263045214992,10504
"cns_168Abnormal",2.97465190407755,2.64986822452949,3.33934062014836,10504
"resp_168Abnormal",1.13762981504987,0.654005092740287,1.8946193467602,10504
"coag_168Abnormal",2.22655513428778,1.77265273468297,2.78724872769132,10504
"liver_168Abnormal",2.95297868222345,2.23622017077742,3.88738458542314,10504
"cv_168Abnormal",2.10937630582355,1.74443201056791,2.54380417882097,10504
"renal_168Abnormal",1.69572999725019,1.45024248858585,1.97821655997215,10504
