"","OR","2.5 %","97.5 %","N"
"(Intercept)",0.0241378091292118,0.017557440097834,0.0329746108707611,8929
"m_age",1.17762257566747,1.11755669647522,1.24161253095388,8929
"genderFemale",0.944771337183001,0.83363174588375,1.07019681118692,8929
"ethnicityASIAN",1.05238672621092,0.658357138693912,1.62281457594364,8929
"ethnicityBLACK",0.776627901804028,0.634674375818983,0.944759916778758,8929
"ethnicityHISPANIC",1.11045788997912,0.800368771820282,1.51438463824738,8929
"ethnicityOTHER",0.820421949914357,0.63375113990762,1.05058517128329,8929
"charlson",1.10753649525541,1.07559894142935,1.14007038716534,8929
"cns_168Abnormal",3.06374472372834,2.70119842503637,3.47551884048536,8929
"resp_168Abnormal",1.25410772058303,0.691127024551673,2.17263588234951,8929
"coag_168Abnormal",2.41898141887601,1.91051941502208,3.05268886321008,8929
"liver_168Abnormal",2.80407035242142,2.10823857405525,3.71772071714816,8929
"cv_168Abnormal",2.28714131015675,1.86195079443961,2.80115827043212,8929
"renal_168Abnormal",1.52199258437938,1.29284688893944,1.78725595573189,8929
