"","OR","2.5 %","97.5 %","N"
"(Intercept)",0.00682533098524498,0.00597535825548251,0.00778677514519149,105907
"m_age",1.19840242425529,1.17381812278461,1.22362164715853,105907
"genderFemale",0.969753749035045,0.922780228312833,1.01907506978047,105907
"ethnicityASIAN",1.20732209857783,0.998628605979446,1.44835936961869,105907
"ethnicityBLACK",0.855338524304762,0.787058805963441,0.928434272018361,105907
"ethnicityHISPANIC",0.932575981625361,0.816632744232273,1.06110182307118,105907
"ethnicityOTHER",0.972486997901238,0.87645640789548,1.07679790479315,105907
"charlson",1.08534596210892,1.0739220480025,1.09681753367274,105907
"cns_24Abnormal",2.89437860738581,2.73126393745485,3.06700702572596,105907
"resp_24Abnormal",2.64711734482043,2.49933838616096,2.80340300874805,105907
"coag_24Abnormal",2.95372226947404,2.63876421271358,3.30147971743282,105907
"liver_24Abnormal",3.11216285730222,2.65499281692349,3.63851692882768,105907
"cv_24Abnormal",2.13190221374662,1.99570471651793,2.27646987874525,105907
"renal_24Abnormal",1.99487603780041,1.88529704147503,2.11028059073608,105907
