"","OR","2.5 %","97.5 %","N"
"(Intercept)",0.00686476858436802,0.00589446545810333,0.00798168345685108,90612.0000000001
"m_age",1.14552845752289,1.11834013809501,1.17354205053943,90612.0000000001
"genderFemale",1.03216421416269,0.973373245906359,1.09441139071691,90612.0000000001
"ethnicityASIAN",1.2891291233523,1.04557695463575,1.5741629235935,90612.0000000001
"ethnicityBLACK",1.02041885177435,0.928859417448391,1.11938288958648,90612.0000000001
"ethnicityHISPANIC",0.983804394549814,0.842017117730244,1.14351530410087,90612.0000000001
"ethnicityOTHER",1.09203559275122,0.972610176723553,1.22301210978112,90612.0000000001
"charlson",1.09723253837937,1.08285999534505,1.11167027728005,90612.0000000001
"cns_24Abnormal",3.51986516352907,3.2922957678042,3.76293259278292,90612.0000000001
"resp_24Abnormal",2.132093592449,1.99209172735496,2.28160604878924,90612.0000000001
"coag_24Abnormal",2.89800020509673,2.55408054573632,3.28186706363965,90612.0000000001
"liver_24Abnormal",3.15061121086216,2.65111185937766,3.73174516571787,90612.0000000001
"cv_24Abnormal",2.10739091935892,1.95426161826518,2.27128247947109,90612.0000000001
"renal_24Abnormal",2.20881030263445,2.06865857576957,2.35767361475567,90612.0000000001
